"Name","predict_only","N","epoch_time","test_time"
"solar-sweep-87","true","15","43.13762950897217","9.750478506088257"
"polar-sweep-88","false","15","73.62998533248901","34.21991539001465"
"exalted-sweep-86","true","15","39.25330567359924","9.54149293899536"
"golden-sweep-89","false","15","73.2471616268158","33.62690591812134"
"scarlet-sweep-85","true","15","38.77392816543579","9.525554180145264"
"decent-sweep-90","false","15","68.83656620979309","33.136826276779175"
"robust-sweep-84","false","14","71.54639029502869","32.38292837142944"
"giddy-sweep-79","true","14","40.19683051109314","10.20375370979309"
"comic-sweep-81","true","14","48.63182044029236","10.613790273666382"
"glad-sweep-83","false","14","72.05850839614868","32.14111137390137"
"hardy-sweep-80","true","14","39.28447222709656","9.320058345794678"
"scarlet-sweep-82","false","14","79.06556344032288","33.47311305999756"
"magic-sweep-76","false","13","77.59796857833862","32.84773826599121"
"deep-sweep-74","true","13","38.714539527893066","9.18739104270935"
"feasible-sweep-75","true","13","45.8122615814209","10.23618197441101"
"azure-sweep-77","false","13","76.20569396018982","34.85448956489563"
"apricot-sweep-73","true","13","42.07471251487732","9.29156756401062"
"pious-sweep-78","false","13","73.27608132362366","31.07323980331421"
"upbeat-sweep-68","true","12","57.69706177711487","10.376196384429932"
"glowing-sweep-71","false","12","81.3176782131195","30.377153396606445"
"radiant-sweep-70","false","12","82.56101655960083","30.845850944519043"
"earthy-sweep-69","true","12","47.71849083900452","9.21368932723999"
"winter-sweep-72","false","12","72.56028890609741","31.55479335784912"
"super-sweep-67","true","12","50.49245643615723","10.179340600967407"
"hopeful-sweep-64","false","11","77.5656955242157","29.952495098114017"
"ancient-sweep-65","false","11","74.74897360801697","30.10944151878357"
"earnest-sweep-63","true","11","51.45806121826172","9.778624534606934"
"stellar-sweep-62","true","11","41.24509286880493","9.172647714614868"
"zany-sweep-61","true","11","37.540088415145874","9.235095262527466"
"comic-sweep-66","false","11","77.16932249069214","30.84790730476379"
"solar-sweep-59","false","10","76.19455075263977","28.62209963798523"
"zany-sweep-60","false","10","78.2556734085083","28.896804571151733"
"flowing-sweep-57","true","10","41.14208340644837","9.274419784545898"
"dashing-sweep-55","true","10","42.194607734680176","9.056286334991457"
"driven-sweep-58","false","10","68.88827681541443","28.78971219062805"
"electric-sweep-56","true","10","46.95722246170044","9.224513292312622"
"charmed-sweep-54","false","9","82.05910778045654","28.060890674591064"
"light-sweep-52","false","9","67.46315169334412","27.15071177482605"
"worldly-sweep-51","true","9","41.196630001068115","9.05764937400818"
"crisp-sweep-49","true","9","43.771235704422","9.110527753829956"
"neat-sweep-50","true","9","42.07556891441345","9.025373697280884"
"logical-sweep-53","false","9","86.89294123649597","28.196532011032104"
"golden-sweep-46","false","8","67.78961777687073","27.49787402153015"
"stilted-sweep-47","false","8","73.93918895721436","27.806971073150635"
"effortless-sweep-43","true","8","43.652867555618286","9.017436265945436"
"peachy-sweep-45","true","8","43.15108895301819","10.102548360824583"
"usual-sweep-48","false","8","73.21892881393433","27.310357093811035"
"trim-sweep-44","true","8","45.01559615135193","10.777772665023804"
"jumping-sweep-39","true","7","44.81746196746826","9.062644481658936"
"drawn-sweep-37","true","7","52.33804774284363","10.025667190551758"
"ethereal-sweep-41","false","7","93.33988404273988","25.765749216079712"
"clean-sweep-38","true","7","46.6922709941864","9.905722618103027"
"still-sweep-42","false","7","87.05224537849426","26.795196771621704"
"trim-sweep-40","false","7","72.48873972892761","25.368573665618896"
"grateful-sweep-35","false","6","73.48178172111511","24.77720737457275"
"revived-sweep-31","true","6","46.16783833503723","9.214987754821776"
"fearless-sweep-34","false","6","83.25825262069702","24.990621089935303"
"deft-sweep-33","true","6","50.63354802131653","9.009188175201416"
"feasible-sweep-32","true","6","61.326451539993286","8.984923839569092"
"zany-sweep-36","false","6","72.514488697052","25.010249137878414"
"swept-sweep-26","true","5","48.74934792518616","10.829566717147827"
"confused-sweep-30","false","5","77.21644806861877","24.049731016159058"
"morning-sweep-27","true","5","49.670310974121094","9.258861064910889"
"sage-sweep-28","false","5","74.98030209541321","23.781293869018555"
"polar-sweep-29","false","5","77.74915361404419","23.48292303085327"
"olive-sweep-25","true","5","61.86004090309143","9.173979043960571"
"twilight-sweep-21","true","4","60.879836320877075","9.64964509010315"
"unique-sweep-22","false","4","79.47966504096985","23.18951296806335"
"robust-sweep-24","false","4","77.38697123527527","22.94843292236328"
"firm-sweep-19","true","4","71.57110977172852","9.388787746429443"
"graceful-sweep-20","true","4","49.87573552131653","9.32425594329834"
"kind-sweep-23","false","4","102.33738350868224","22.555624961853027"
"decent-sweep-15","true","3","69.69615983963013","9.78861951828003"
"good-sweep-13","true","3","61.21934175491333","9.554725646972656"
"wandering-sweep-18","false","3","93.15982103347778","22.611261129379272"
"exalted-sweep-14","true","3","71.00057530403137","9.71180272102356"
"flowing-sweep-16","false","3","84.10692358016968","22.543067932128903"
"sweet-sweep-17","false","3","91.496577501297","22.3257954120636"
"radiant-sweep-10","false","2","109.21559643745422","24.78125"
"ethereal-sweep-11","false","2","110.90958094596864","22.6595618724823"
"peachy-sweep-8","true","2","94.25513291358948","11.046617269515991"
"celestial-sweep-7","true","2","93.84364557266235","11.593711614608765"
"solar-sweep-9","true","2","94.82772254943848","11.107627391815186"
"peachy-sweep-12","false","2","106.72693729400636","22.03502321243286"
"driven-sweep-3","true","1","178.3752098083496","14.384186506271362"
"elated-sweep-2","true","1","174.689058303833","14.35020661354065"
"glad-sweep-6","false","1","195.1786150932312","25.43887233734131"
"autumn-sweep-1","true","1","173.57141184806824","14.169515609741213"
"worthy-sweep-4","false","1","157.8986258506775","24.534128665924072"
"stilted-sweep-5","false","1","184.19152116775513","24.442417860031128"